time,open,high,low,close
2010-04-25T00:00:00Z,0.003,0.003,0.003,0.003
2010-04-26T12:00:00Z,0.003,0.003,0.003,0.003
2010-04-30T00:00:00Z,0.003,0.003,0.003,0.003
2010-05-01T00:00:00Z,0.003,0.003,0.003,0.003
2010-05-02T00:00:00Z,0.003,0.003,0.003,0.003
2010-05-03T00:00:00Z,0.003,0.003,0.003,0.003
2010-05-04T00:00:00Z,0.003,0.003,0.003,0.003
2010-05-04T12:00:00Z,0.003,0.003,0.003,0.003
2010-05-05T00:00:00Z,0.0031,0.0031,0.0031,0.0031
2010-05-05T12:00:00Z,0.0034,0.0035,0.0034,0.0035
2010-05-06T00:00:00Z,0.004,0.004,0.004,0.004
2010-05-06T12:00:00Z,0.0043,0.0043,0.0043,0.0043
2010-05-07T00:00:00Z,0.0043,0.0043,0.0042,0.0042
2010-05-08T00:00:00Z,0.0035,0.0035,0.0035,0.0035
2010-05-10T12:00:00Z,0.0039,0.0039,0.0039,0.0039
2010-05-11T00:00:00Z,0.004,0.004,0.004,0.004
2010-05-11T12:00:00Z,0.0041,0.0041,0.0041,0.0041
2010-05-12T12:00:00Z,0.0042,0.0044,0.0042,0.0044
2010-05-14T00:00:00Z,0.004,0.004,0.004,0.004
2010-05-18T12:00:00Z,0.0047,0.0047,0.0045,0.0045
2010-05-19T00:00:00Z,0.0046,0.0046,0.0046,0.0046
2010-05-20T00:00:00Z,0.0045,0.0045,0.0045,0.0045
2010-05-22T00:00:00Z,0.0043,0.0043,0.0043,0.0043
2010-05-22T12:00:00Z,0.0046,0.0047,0.0046,0.0047
2010-05-23T00:00:00Z,0.0049,0.0049,0.0049,0.0049
2010-05-23T12:00:00Z,0.0045,0.0045,0.0045,0.0045
2010-05-25T00:00:00Z,0.0048,0.0048,0.0048,0.0048
2010-05-26T00:00:00Z,0.0046,0.0046,0.0046,0.0046
2010-05-27T12:00:00Z,0.0046,0.0046,0.0046,0.0046
2010-05-28T12:00:00Z,0.0045,0.0045,0.0045,0.0045
2010-05-29T00:00:00Z,0.0045,0.0045,0.0045,0.0045
2010-05-30T00:00:00Z,0.0045,0.0045,0.0045,0.0045
2010-06-07T00:00:00Z,0.0046,0.0046,0.0046,0.0046
2010-06-07T12:00:00Z,0.0045,0.0045,0.0045,0.0045
2010-06-09T00:00:00Z,0.0046,0.0046,0.0046,0.0046
2010-06-10T00:00:00Z,0.005,0.005,0.005,0.005
2010-06-14T00:00:00Z,0.005,0.005,0.005,0.005
2010-06-18T00:00:00Z,0.005,0.005,0.005,0.005
2010-06-22T12:00:00Z,0.005,0.005,0.005,0.005
2010-06-23T00:00:00Z,0.005,0.005,0.005,0.005
2010-06-24T00:00:00Z,0.0051,0.0054,0.0051,0.0054
2010-06-24T12:00:00Z,0.0052,0.0054,0.005,0.005
2010-06-26T12:00:00Z,0.0044,0.0044,0.0044,0.0044
2010-06-28T00:00:00Z,0.005,0.0054,0.0044,0.0054
2010-06-28T12:00:00Z,0.0054,0.0058,0.0053,0.0058
2010-06-30T12:00:00Z,0.0054,0.0054,0.0054,0.0054
2010-07-01T00:00:00Z,0.0055,0.0055,0.0055,0.0055
2010-07-01T12:00:00Z,0.006,0.0066,0.006,0.0066
2010-07-02T12:00:00Z,0.0055,0.0055,0.0055,0.0055
2010-07-03T00:00:00Z,0.0061,0.0061,0.0055,0.0055
2010-07-03T12:00:00Z,0.0065,0.0065,0.0065,0.0065
2010-07-04T00:00:00Z,0.0055,0.0055,0.0055,0.0055
2010-07-04T12:00:00Z,0.0068,0.0068,0.0068,0.0068
2010-07-05T00:00:00Z,0.0055,0.0055,0.0055,0.0055
2010-07-05T12:00:00Z,0.007,0.008,0.007,0.008
2010-07-06T00:00:00Z,0.0058,0.0058,0.0058,0.0058
2010-07-07T00:00:00Z,0.0058,0.0058,0.0058,0.0058
2010-07-07T12:00:00Z,0.008,0.008,0.008,0.008
2010-07-08T00:00:00Z,0.0063,0.0063,0.0063,0.0063
2010-07-10T00:00:00Z,0.0081,0.0081,0.0081,0.0081
2010-07-11T00:00:00Z,0.0084,0.0084,0.007,0.007
2010-07-12T00:00:00Z,0.012,0.012,0.01,0.0119
2010-07-12T12:00:00Z,0.012,0.014,0.012,0.014
2010-07-13T00:00:00Z,0.016,0.017,0.016,0.017
2010-07-13T12:00:00Z,0.0168,0.0168,0.0125,0.0125
2010-07-14T00:00:00Z,0.0183,0.02,0.0183,0.02
2010-07-14T12:00:00Z,0.0625,0.0625,0.0201,0.0201
2010-07-15T00:00:00Z,0.0251,0.03,0.0251,0.0295
2010-07-15T12:00:00Z,0.045,0.0725,0.0449,0.045
2010-07-16T00:00:00Z,0.0472,0.0925,0.0448,0.0745
2010-07-16T12:00:00Z,0.0725,0.084,0.0725,0.075
2010-07-17T12:00:00Z,0.04951,0.04951,0.04951,0.04951
2010-07-18T00:00:00Z,0.05941,0.05941,0.05941,0.05941
2010-07-18T12:00:00Z,0.0808,0.08585,0.0808,0.08584
2010-07-19T00:00:00Z,0.0909,0.0909,0.0909,0.0909
2010-07-19T12:00:00Z,0.09307,0.09307,0.07723,0.0808
2010-07-20T00:00:00Z,0.08181,0.08181,0.0818,0.0818
2010-07-20T12:00:00Z,0.08119,0.08119,0.07426,0.07474
2010-07-21T00:00:00Z,0.07425,0.07425,0.07129,0.07129
2010-07-21T12:00:00Z,0.0703,0.07921,0.06634,0.07921
2010-07-22T00:00:00Z,0.07921,0.08181,0.06138,0.06436
2010-07-22T12:00:00Z,0.06436,0.06436,0.0505,0.05149
2010-07-23T00:00:00Z,0.0505,0.06767,0.0505,0.06161
2010-07-23T12:00:00Z,0.05545,0.06262,0.05248,0.06262
2010-07-24T00:00:00Z,0.06161,0.06161,0.05149,0.05248
2010-07-24T12:00:00Z,0.05149,0.05858,0.05049,0.05454
2010-07-25T00:00:00Z,0.05545,0.05941,0.05545,0.05941
2010-07-25T12:00:00Z,0.05693,0.05693,0.0505,0.0505
2010-07-26T00:00:00Z,0.05,0.05,0.05,0.05
2010-07-26T12:00:00Z,0.05,0.056,0.05,0.056
2010-07-27T00:00:00Z,0.0559,0.0605,0.053,0.0605
2010-07-27T12:00:00Z,0.055,0.06,0.055,0.06
2010-07-28T00:00:00Z,0.06,0.0615,0.054,0.054
2010-07-28T12:00:00Z,0.058,0.062,0.054,0.0589
2010-07-29T00:00:00Z,0.0597,0.0597,0.0571,0.0571
2010-07-29T12:00:00Z,0.05789,0.0699,0.05789,0.0699
2010-07-30T00:00:00Z,0.0698,0.0698,0.0582,0.0684
2010-07-30T12:00:00Z,0.06741,0.0692,0.061,0.0627
2010-07-31T00:00:00Z,0.065,0.0687,0.0582,0.0687
2010-07-31T12:00:00Z,0.0605,0.06889,0.056,0.06785
2010-08-01T00:00:00Z,0.061,0.061,0.06,0.06
2010-08-01T12:00:00Z,0.06,0.065,0.06,0.0611
2010-08-02T00:00:00Z,0.0625,0.0627,0.0611,0.0611
2010-08-02T12:00:00Z,0.0633,0.0633,0.06,0.06001
2010-08-03T00:00:00Z,0.06,0.062,0.059,0.06
2010-08-03T12:00:00Z,0.062,0.065,0.06,0.06
2010-08-04T00:00:00Z,0.0623,0.06231,0.06,0.06
2010-08-04T12:00:00Z,0.06,0.06,0.057,0.057
2010-08-05T00:00:00Z,0.0581,0.0603,0.058,0.06
2010-08-05T12:00:00Z,0.06,0.061,0.06,0.061
2010-08-06T00:00:00Z,0.062,0.0624,0.062,0.0624
2010-08-06T12:00:00Z,0.0619,0.0623,0.0607,0.0623
2010-08-07T00:00:00Z,0.0608,0.0608,0.06079,0.06079
2010-08-07T12:00:00Z,0.06079,0.0622,0.059,0.059
2010-08-08T00:00:00Z,0.059,0.059,0.059,0.059
2010-08-08T12:00:00Z,0.0604,0.061,0.06,0.0609
2010-08-09T00:00:00Z,0.06091,0.066,0.0593,0.063
2010-08-09T12:00:00Z,0.062,0.0735,0.062,0.0704
2010-08-10T00:00:00Z,0.068,0.0708,0.068,0.0708
2010-08-10T12:00:00Z,0.0681,0.0709,0.06651,0.07
2010-08-11T00:00:00Z,0.06,0.0703,0.06,0.069
2010-08-11T12:00:00Z,0.0691,0.07541,0.067,0.067
2010-08-12T00:00:00Z,0.068,0.068,0.06141,0.06141
2010-08-12T12:00:00Z,0.0665,0.07,0.0665,0.07
2010-08-13T00:00:00Z,0.0665,0.0665,0.065,0.065
2010-08-13T12:00:00Z,0.0679,0.068,0.0645,0.0645
2010-08-14T00:00:00Z,0.0655,0.0655,0.0655,0.0655
2010-08-14T12:00:00Z,0.0655,0.0695,0.0645,0.067
2010-08-15T00:00:00Z,0.067,0.067,0.067,0.067
2010-08-15T12:00:00Z,0.0667,0.0667,0.065,0.06529
2010-08-16T00:00:00Z,0.06319,0.0679,0.063,0.063
2010-08-16T12:00:00Z,0.06337,0.067,0.062,0.0655
2010-08-17T00:00:00Z,0.0655,0.0655,0.063,0.065
2010-08-17T12:00:00Z,0.06243,0.0769,0.06243,0.07
2010-08-18T00:00:00Z,0.06999,0.0733,0.06999,0.0733
2010-08-18T12:00:00Z,0.07001,0.07001,0.067,0.068
2010-08-19T00:00:00Z,0.0675,0.0679,0.0675,0.0679
2010-08-19T12:00:00Z,0.0676,0.0676,0.0667,0.0667
2010-08-20T00:00:00Z,0.0667,0.0667,0.066,0.066
2010-08-20T12:00:00Z,0.066,0.06639,0.065,0.0655
2010-08-21T00:00:00Z,0.0655,0.0655,0.0645,0.0645
2010-08-21T12:00:00Z,0.06599,0.0669,0.0644,0.0664
2010-08-22T00:00:00Z,0.065,0.0664,0.06201,0.06201
2010-08-22T12:00:00Z,0.0632,0.066,0.0612,0.066
2010-08-23T00:00:00Z,0.066,0.066,0.063,0.06539
2010-08-23T12:00:00Z,0.0641,0.06689,0.06409,0.06491
2010-08-24T00:00:00Z,0.06491,0.0665,0.06491,0.06641
2010-08-24T12:00:00Z,0.06641,0.0665,0.065,0.065
2010-08-25T00:00:00Z,0.06499,0.0665,0.0641,0.0655
2010-08-25T12:00:00Z,0.0652,0.0665,0.0648,0.0648
2010-08-26T00:00:00Z,0.0648,0.0658,0.0648,0.06481
2010-08-26T12:00:00Z,0.0648,0.0648,0.064,0.064
2010-08-27T00:00:00Z,0.064,0.06401,0.063,0.064
2010-08-27T12:00:00Z,0.0645,0.065,0.0645,0.065
2010-08-28T00:00:00Z,0.065,0.065,0.0645,0.0649
2010-08-28T12:00:00Z,0.0649,0.0649,0.0641,0.0646
2010-08-29T00:00:00Z,0.0647,0.0647,0.0641,0.0641
2010-08-29T12:00:00Z,0.0641,0.0648,0.064,0.064
2010-08-30T00:00:00Z,0.0646,0.069,0.03211,0.06459
2010-08-30T12:00:00Z,0.06411,0.06497,0.063,0.06497
2010-08-31T00:00:00Z,0.06411,0.06411,0.064,0.064
2010-08-31T12:00:00Z,0.0631,0.0649,0.06,0.06
2010-09-01T00:00:00Z,0.062,0.062,0.05961,0.0619
2010-09-01T12:00:00Z,0.06096,0.0629,0.05969,0.0629
2010-09-02T00:00:00Z,0.061,0.061,0.0601,0.0601
2010-09-02T12:00:00Z,0.06099,0.0634,0.0601,0.0634
2010-09-03T00:00:00Z,0.061,0.063,0.06085,0.06085
2010-09-04T00:00:00Z,0.06125,0.06125,0.06125,0.06125
2010-09-04T12:00:00Z,0.0613,0.06238,0.0612,0.06238
2010-09-05T00:00:00Z,0.06245,0.0629,0.0605,0.06245
2010-09-05T12:00:00Z,0.06245,0.064,0.0608,0.0616
2010-09-06T12:00:00Z,0.0627,0.0627,0.0616,0.0616
2010-09-07T00:00:00Z,0.0616,0.0616,0.0616,0.0616
2010-09-07T12:00:00Z,0.06157,0.06201,0.0603,0.061
2010-09-08T00:00:00Z,0.061,0.061,0.061,0.061
2010-09-08T12:00:00Z,0.061,0.062,0.06099,0.062
2010-09-09T12:00:00Z,0.0611,0.0624,0.06109,0.06111
2010-09-10T00:00:00Z,0.061,0.061,0.06014,0.06014
2010-09-10T12:00:00Z,0.06014,0.0618,0.06014,0.0618
2010-09-11T00:00:00Z,0.0619,0.062,0.0619,0.062
2010-09-11T12:00:00Z,0.062,0.065,0.062,0.06366
2010-09-12T00:00:00Z,0.0621,0.0621,0.0615,0.0615
2010-09-13T00:00:00Z,0.062,0.062,0.0607,0.0607
2010-09-13T12:00:00Z,0.0608,0.064,0.0608,0.06218
2010-09-14T00:00:00Z,0.062,0.0626,0.061,0.0611
2010-09-14T12:00:00Z,0.0612,0.175,0.0612,0.06199
2010-09-15T00:00:00Z,0.0625,0.0625,0.0609,0.06099
2010-09-15T12:00:00Z,0.0605,0.0605,0.0604,0.0604
2010-09-16T00:00:00Z,0.0618,0.0619,0.0618,0.0619
2010-09-17T00:00:00Z,0.06089,0.0609,0.0604,0.0604
2010-09-17T12:00:00Z,0.06089,0.0609,0.059,0.06
2010-09-18T00:00:00Z,0.059,0.0609,0.05761,0.0599
2010-09-18T12:00:00Z,0.0609,0.061,0.0609,0.061
2010-09-19T00:00:00Z,0.06091,0.0618,0.06089,0.0618
2010-09-19T12:00:00Z,0.0618,0.0627,0.06,0.0627
2010-09-20T00:00:00Z,0.0621,0.06259,0.062,0.06259
2010-09-20T12:00:00Z,0.062,0.0634,0.062,0.0621
2010-09-21T00:00:00Z,0.0631,0.0633,0.0623,0.06309
2010-09-21T12:00:00Z,0.06309,0.0631,0.0624,0.06265
2010-09-22T00:00:00Z,0.06231,0.0624,0.0622,0.0623
2010-09-22T12:00:00Z,0.0622,0.0623,0.06147,0.0622
2010-09-23T00:00:00Z,0.0621,0.0627,0.0615,0.06249
2010-09-23T12:00:00Z,0.06249,0.063,0.06181,0.06231
2010-09-24T00:00:00Z,0.06209,0.06209,0.06209,0.06209
2010-09-24T12:00:00Z,0.06232,0.0624,0.06216,0.0622
2010-09-25T00:00:00Z,0.06221,0.0624,0.06197,0.0624
2010-09-25T12:00:00Z,0.06181,0.06202,0.0617,0.06202
2010-09-26T00:00:00Z,0.06204,0.06204,0.06204,0.06204
2010-09-26T12:00:00Z,0.06186,0.06228,0.06186,0.062
2010-09-27T00:00:00Z,0.06205,0.06205,0.0619,0.06196
2010-09-27T12:00:00Z,0.0622,0.06228,0.06198,0.0622
2010-09-28T00:00:00Z,0.06196,0.06271,0.0617,0.0619
2010-09-28T12:00:00Z,0.0621,0.06219,0.0619,0.0619
2010-09-29T00:00:00Z,0.062,0.062,0.0617,0.0619
2010-09-29T12:00:00Z,0.06197,0.06197,0.0615,0.06183
2010-09-30T00:00:00Z,0.06174,0.0619,0.06174,0.0619
2010-09-30T12:00:00Z,0.0617,0.0619,0.06155,0.0619
2010-10-01T00:00:00Z,0.06189,0.062,0.06189,0.062
2010-10-01T12:00:00Z,0.06199,0.062,0.06189,0.06197
2010-10-02T00:00:00Z,0.06188,0.06191,0.06128,0.0614
2010-10-02T12:00:00Z,0.0614,0.0614,0.06125,0.0614
2010-10-03T00:00:00Z,0.06139,0.0614,0.06123,0.06123
2010-10-03T12:00:00Z,0.0614,0.0614,0.061,0.06111
2010-10-04T00:00:00Z,0.06119,0.062,0.06101,0.062
2010-10-04T12:00:00Z,0.06191,0.06191,0.06081,0.06129
2010-10-05T00:00:00Z,0.0614,0.063,0.0609,0.06095
2010-10-05T12:00:00Z,0.06099,0.06301,0.06095,0.0614
2010-10-06T00:00:00Z,0.0615,0.062,0.0612,0.062
2010-10-06T12:00:00Z,0.06318,0.0635,0.06195,0.06281
2010-10-07T00:00:00Z,0.0632,0.0635,0.06281,0.06337
2010-10-07T12:00:00Z,0.06347,0.067,0.0628,0.067
2010-10-08T00:00:00Z,0.067,0.08,0.067,0.0731
2010-10-08T12:00:00Z,0.07313,0.088,0.01,0.08685
2010-10-09T00:00:00Z,0.083,0.12001,0.0711,0.08102
2010-10-09T12:00:00Z,0.0802,0.11,0.068,0.0938
2010-10-10T00:00:00Z,0.093,0.093,0.082,0.0929
2010-10-10T12:00:00Z,0.0929,0.1301,0.07999,0.0965
2010-10-11T00:00:00Z,0.091,0.103,0.091,0.103
2010-10-11T12:00:00Z,0.09401,0.095,0.09401,0.095
2010-10-12T00:00:00Z,0.094,0.099,0.082,0.096
2010-10-12T12:00:00Z,0.093,0.0949,0.092,0.0949
2010-10-13T00:00:00Z,0.092,0.0938,0.092,0.093
2010-10-13T12:00:00Z,0.09388,0.105,0.09388,0.105
2010-10-14T00:00:00Z,0.1045,0.1045,0.095,0.1025
2010-10-14T12:00:00Z,0.101,0.103,0.065,0.102
2010-10-15T00:00:00Z,0.1,0.102,0.1,0.102
2010-10-15T12:00:00Z,0.102,0.119,0.092,0.105
2010-10-16T00:00:00Z,0.1,0.10299,0.1,0.10299
2010-10-16T12:00:00Z,0.10288,0.103,0.10001,0.101
2010-10-17T00:00:00Z,0.102,0.104,0.10001,0.103
2010-10-17T12:00:00Z,0.1045,0.1045,0.102,0.102
2010-10-18T00:00:00Z,0.103,0.103,0.102,0.102
2010-10-18T12:00:00Z,0.102,0.103,0.097,0.1024
2010-10-19T00:00:00Z,0.1,0.1019,0.0973,0.1019
2010-10-19T12:00:00Z,0.1,0.101,0.097,0.097
2010-10-20T00:00:00Z,0.1,0.1,0.094,0.099
2010-10-20T12:00:00Z,0.096,0.103,0.096,0.099
2010-10-21T00:00:00Z,0.0972,0.102,0.097,0.1
2010-10-21T12:00:00Z,0.101,0.109,0.101,0.107
2010-10-22T00:00:00Z,0.1015,0.105,0.1015,0.105
2010-10-22T12:00:00Z,0.105,0.10901,0.1025,0.1025
