time,open,high,low,close
2009-01-09T00:00:00Z,14,14,14,14
2009-01-10T00:00:00Z,75,75,75,75
2009-01-11T00:00:00Z,168,168,168,168
2009-01-12T00:00:00Z,262,262,262,262
2009-01-13T00:00:00Z,385,385,385,385
2009-01-14T00:00:00Z,514,514,514,514
2009-01-15T00:00:00Z,640,640,640,640
2009-01-16T00:00:00Z,748,748,748,748
2009-01-17T00:00:00Z,857,857,857,857
2009-01-18T00:00:00Z,964,964,964,964
2009-01-19T00:00:00Z,1079,1079,1079,1079
2009-01-20T00:00:00Z,1193,1193,1193,1193
2009-01-21T00:00:00Z,1295,1295,1295,1295
2009-01-22T00:00:00Z,1386,1386,1386,1386
2009-01-23T00:00:00Z,1470,1470,1470,1470
2009-01-24T00:00:00Z,1671,1671,1671,1671
2009-01-25T00:00:00Z,1862,1862,1862,1862
2009-01-26T00:00:00Z,1958,1958,1958,1958
2009-01-27T00:00:00Z,2055,2055,2055,2055
2009-01-28T00:00:00Z,2167,2167,2167,2167
2009-01-29T00:00:00Z,2288,2288,2288,2288
2009-01-30T00:00:00Z,2405,2405,2405,2405
2009-01-31T00:00:00Z,2543,2543,2543,2543
2009-02-01T00:00:00Z,2656,2656,2656,2656
2009-02-02T00:00:00Z,2784,2784,2784,2784
2009-02-03T00:00:00Z,2923,2923,2923,2923
2009-02-04T00:00:00Z,3042,3042,3042,3042
2009-02-05T00:00:00Z,3168,3168,3168,3168
2009-02-06T00:00:00Z,3290,3290,3290,3290
2009-02-07T00:00:00Z,3419,3419,3419,3419
2009-02-08T00:00:00Z,3551,3551,3551,3551
2009-02-09T00:00:00Z,3685,3685,3685,3685
2009-02-10T00:00:00Z,3805,3805,3805,3805
2009-02-11T00:00:00Z,3938,3938,3938,3938
2009-02-12T00:00:00Z,4057,4057,4057,4057
2009-02-13T00:00:00Z,4181,4181,4181,4181
2009-02-14T00:00:00Z,4317,4317,4317,4317
2009-02-15T00:00:00Z,4445,4445,4445,4445
2009-02-16T00:00:00Z,4567,4567,4567,4567
2009-02-17T00:00:00Z,4684,4684,4684,4684
2009-02-18T00:00:00Z,4802,4802,4802,4802
2009-02-19T00:00:00Z,4926,4926,4926,4926
2009-02-20T00:00:00Z,5048,5048,5048,5048
2009-02-21T00:00:00Z,5162,5162,5162,5162
